Non-overlapping 14-day period,Region,Number_received_three_vaccines,Population
01/11/2021 -> 30/11/2021,East Midlands,1265265,3260465
01/11/2021 -> 30/11/2021,East of England,1650045,4168240
01/11/2021 -> 30/11/2021,London,1489210,4792910
01/11/2021 -> 30/11/2021,North East,730870,1846650
01/11/2021 -> 30/11/2021,North West,1866655,4854040
01/11/2021 -> 30/11/2021,South East,2398285,6114330
01/11/2021 -> 30/11/2021,South West,1577440,3886570
01/11/2021 -> 30/11/2021,East Midlands,95895,314550
01/11/2021 -> 30/11/2021,East of England,141620,454330
01/11/2021 -> 30/11/2021,London,538165,1783480
01/11/2021 -> 30/11/2021,North East,22945,81810
01/11/2021 -> 30/11/2021,North West,105090,381055
01/11/2021 -> 30/11/2021,South East,241385,736965
01/11/2021 -> 30/11/2021,South West,91170,278400
01/11/2021 -> 30/11/2021,East Midlands,1169375,2945925
01/11/2021 -> 30/11/2021,East of England,1508430,3713930
01/11/2021 -> 30/11/2021,London,951035,3009430
01/11/2021 -> 30/11/2021,North East,707925,1764845
01/11/2021 -> 30/11/2021,North West,1761575,4472990
01/11/2021 -> 30/11/2021,South East,2156915,5377370
01/11/2021 -> 30/11/2021,South West,1486270,3608170
01/11/2021 -> 30/11/2021,East Midlands,177305,289980
01/11/2021 -> 30/11/2021,East of England,209790,337845
01/11/2021 -> 30/11/2021,London,176495,344880
01/11/2021 -> 30/11/2021,North East,112445,179780
01/11/2021 -> 30/11/2021,North West,259380,435150
01/11/2021 -> 30/11/2021,South East,288600,466215
01/11/2021 -> 30/11/2021,South West,211650,338385
01/11/2021 -> 30/11/2021,East Midlands,99510,178425
01/11/2021 -> 30/11/2021,East of England,103905,186035
01/11/2021 -> 30/11/2021,London,113860,243350
01/11/2021 -> 30/11/2021,North East,80455,137205
01/11/2021 -> 30/11/2021,North West,183940,331830
01/11/2021 -> 30/11/2021,South East,135880,244990
01/11/2021 -> 30/11/2021,South West,104935,187570
01/11/2021 -> 30/11/2021,East Midlands,988455,2792060
01/11/2021 -> 30/11/2021,East of England,1336350,3644375
01/11/2021 -> 30/11/2021,London,1198840,4204690
01/11/2021 -> 30/11/2021,North East,537960,1529655
01/11/2021 -> 30/11/2021,North West,1423325,4087060
01/11/2021 -> 30/11/2021,South East,1973805,5403125
01/11/2021 -> 30/11/2021,South West,1260860,3360620
01/11/2021 -> 30/11/2021,East Midlands,63870,110075
01/11/2021 -> 30/11/2021,East of England,75255,129385
01/11/2021 -> 30/11/2021,London,32255,62035
01/11/2021 -> 30/11/2021,North East,41405,71955
01/11/2021 -> 30/11/2021,North West,89915,155615
01/11/2021 -> 30/11/2021,South East,105780,182910
01/11/2021 -> 30/11/2021,South West,78715,137110
01/11/2021 -> 30/11/2021,East Midlands,153420,399760
01/11/2021 -> 30/11/2021,East of England,216850,536640
01/11/2021 -> 30/11/2021,London,156835,422265
01/11/2021 -> 30/11/2021,North East,84910,226320
01/11/2021 -> 30/11/2021,North West,224625,575575
01/11/2021 -> 30/11/2021,South East,292395,717605
01/11/2021 -> 30/11/2021,South West,189075,464965
01/11/2021 -> 30/11/2021,East Midlands,165880,421470
01/11/2021 -> 30/11/2021,East of England,225325,556575
01/11/2021 -> 30/11/2021,London,155700,429875
01/11/2021 -> 30/11/2021,North East,94985,246960
01/11/2021 -> 30/11/2021,North West,246945,629280
01/11/2021 -> 30/11/2021,South East,325390,778965
01/11/2021 -> 30/11/2021,South West,219785,521495
01/11/2021 -> 30/11/2021,East Midlands,125265,356020
01/11/2021 -> 30/11/2021,East of England,155955,444985
01/11/2021 -> 30/11/2021,London,126845,449620
01/11/2021 -> 30/11/2021,North East,74490,206670
01/11/2021 -> 30/11/2021,North West,192510,544065
01/11/2021 -> 30/11/2021,South East,239150,672330
01/11/2021 -> 30/11/2021,South West,160125,445095
01/11/2021 -> 30/11/2021,East Midlands,341335,719830
01/11/2021 -> 30/11/2021,East of England,469255,1010545
01/11/2021 -> 30/11/2021,London,560995,1502670
01/11/2021 -> 30/11/2021,North East,184840,381460
01/11/2021 -> 30/11/2021,North West,530625,1104485
01/11/2021 -> 30/11/2021,South East,793395,1735540
01/11/2021 -> 30/11/2021,South West,494600,1015575
01/11/2021 -> 30/11/2021,East Midlands,321910,550255
01/11/2021 -> 30/11/2021,East of England,390380,635075
01/11/2021 -> 30/11/2021,London,292045,611550
01/11/2021 -> 30/11/2021,North East,199260,337535
01/11/2021 -> 30/11/2021,North West,458380,815450
01/11/2021 -> 30/11/2021,South East,476125,772805
01/11/2021 -> 30/11/2021,South West,330255,527825
01/11/2021 -> 30/11/2021,East Midlands,62840,139225
01/11/2021 -> 30/11/2021,East of England,79575,177320
01/11/2021 -> 30/11/2021,London,120030,373655
01/11/2021 -> 30/11/2021,North East,31670,60260
01/11/2021 -> 30/11/2021,North West,79875,174885
01/11/2021 -> 30/11/2021,South East,111910,247685
01/11/2021 -> 30/11/2021,South West,66915,133865
01/11/2021 -> 30/11/2021,East Midlands,1270,9005
01/11/2021 -> 30/11/2021,East of England,3140,23195
01/11/2021 -> 30/11/2021,London,23465,146345
01/11/2021 -> 30/11/2021,North East,880,7190
01/11/2021 -> 30/11/2021,North West,3005,27705
01/11/2021 -> 30/11/2021,South East,2940,18735
01/11/2021 -> 30/11/2021,South West,940,5445
01/11/2021 -> 30/11/2021,East Midlands,4350,28445
01/11/2021 -> 30/11/2021,East of England,8765,46255
01/11/2021 -> 30/11/2021,London,49770,317325
01/11/2021 -> 30/11/2021,North East,945,5745
01/11/2021 -> 30/11/2021,North West,5570,35915
01/11/2021 -> 30/11/2021,South East,10800,58160
01/11/2021 -> 30/11/2021,South West,2505,14155
01/11/2021 -> 30/11/2021,East Midlands,4835,21125
01/11/2021 -> 30/11/2021,East of England,6140,26065
01/11/2021 -> 30/11/2021,London,40720,217000
01/11/2021 -> 30/11/2021,North East,235,820
01/11/2021 -> 30/11/2021,North West,3680,14955
01/11/2021 -> 30/11/2021,South East,6770,26110
01/11/2021 -> 30/11/2021,South West,2885,10600
01/11/2021 -> 30/11/2021,East Midlands,2485,11090
01/11/2021 -> 30/11/2021,East of England,5360,19395
01/11/2021 -> 30/11/2021,London,20055,69765
01/11/2021 -> 30/11/2021,North East,1400,6400
01/11/2021 -> 30/11/2021,North West,6395,23940
01/11/2021 -> 30/11/2021,South East,8265,30150
01/11/2021 -> 30/11/2021,South West,2930,11025
01/11/2021 -> 30/11/2021,East Midlands,44155,126735
01/11/2021 -> 30/11/2021,East of England,26000,68420
01/11/2021 -> 30/11/2021,London,145480,364410
01/11/2021 -> 30/11/2021,North East,3790,10040
01/11/2021 -> 30/11/2021,North West,21305,73805
01/11/2021 -> 30/11/2021,South East,39790,117085
01/11/2021 -> 30/11/2021,South West,7790,23260
01/11/2021 -> 30/11/2021,East Midlands,6395,45405
01/11/2021 -> 30/11/2021,East of England,10590,63785
01/11/2021 -> 30/11/2021,London,30200,193605
01/11/2021 -> 30/11/2021,North East,2570,13010
01/11/2021 -> 30/11/2021,North West,10475,62825
01/11/2021 -> 30/11/2021,South East,16785,94205
01/11/2021 -> 30/11/2021,South West,7780,42790
01/11/2021 -> 30/11/2021,East Midlands,9765,42890
01/11/2021 -> 30/11/2021,East of England,18995,65025
01/11/2021 -> 30/11/2021,London,111180,441005
01/11/2021 -> 30/11/2021,North East,3560,13290
01/11/2021 -> 30/11/2021,North West,12230,55625
01/11/2021 -> 30/11/2021,South East,35655,118345
01/11/2021 -> 30/11/2021,South West,9505,32615
01/11/2021 -> 30/11/2021,East Midlands,4460,33490
01/11/2021 -> 30/11/2021,East of England,5735,46675
01/11/2021 -> 30/11/2021,London,26645,143380
01/11/2021 -> 30/11/2021,North East,2075,13410
01/11/2021 -> 30/11/2021,North West,14480,128570
01/11/2021 -> 30/11/2021,South East,10080,67485
01/11/2021 -> 30/11/2021,South West,1440,7830
01/11/2021 -> 30/11/2021,East Midlands,1162475,2828740
01/11/2021 -> 30/11/2021,East of England,1508100,3592990
01/11/2021 -> 30/11/2021,London,875430,2258440
01/11/2021 -> 30/11/2021,North East,708615,1749050
01/11/2021 -> 30/11/2021,North West,1749750,4296495
01/11/2021 -> 30/11/2021,South East,2180365,5271525
01/11/2021 -> 30/11/2021,South West,1507305,3611010
01/11/2021 -> 30/11/2021,East Midlands,25110,113565
01/11/2021 -> 30/11/2021,East of England,57225,216435
01/11/2021 -> 30/11/2021,London,166265,641635
01/11/2021 -> 30/11/2021,North East,6810,27705
01/11/2021 -> 30/11/2021,North West,39770,134200
01/11/2021 -> 30/11/2021,South East,86850,312545
01/11/2021 -> 30/11/2021,South West,34355,127845
01/11/2021 -> 30/11/2021,East Midlands,169335,565845
01/11/2021 -> 30/11/2021,East of England,245590,758825
01/11/2021 -> 30/11/2021,London,209555,922110
01/11/2021 -> 30/11/2021,North East,101865,323560
01/11/2021 -> 30/11/2021,North West,241915,869085
01/11/2021 -> 30/11/2021,South East,350065,1119595
01/11/2021 -> 30/11/2021,South West,240250,711865
01/11/2021 -> 30/11/2021,East Midlands,219875,619545
01/11/2021 -> 30/11/2021,East of England,314995,820555
01/11/2021 -> 30/11/2021,London,243005,965555
01/11/2021 -> 30/11/2021,North East,126650,352535
01/11/2021 -> 30/11/2021,North West,298655,921230
01/11/2021 -> 30/11/2021,South East,445635,1201445
01/11/2021 -> 30/11/2021,South West,310155,788135
01/11/2021 -> 30/11/2021,East Midlands,272675,685990
01/11/2021 -> 30/11/2021,East of England,351970,859735
01/11/2021 -> 30/11/2021,London,286730,960825
01/11/2021 -> 30/11/2021,North East,147545,376945
01/11/2021 -> 30/11/2021,North West,373380,981015
01/11/2021 -> 30/11/2021,South East,513805,1278805
01/11/2021 -> 30/11/2021,South West,335045,806945
01/11/2021 -> 30/11/2021,East Midlands,295035,687055
01/11/2021 -> 30/11/2021,East of England,365165,869125
01/11/2021 -> 30/11/2021,London,340940,958480
01/11/2021 -> 30/11/2021,North East,170595,391025
01/11/2021 -> 30/11/2021,North West,453070,1028950
01/11/2021 -> 30/11/2021,South East,535085,1267440
01/11/2021 -> 30/11/2021,South West,340775,800175
01/11/2021 -> 30/11/2021,East Midlands,308355,702050
01/11/2021 -> 30/11/2021,East of England,372320,860020
01/11/2021 -> 30/11/2021,London,408990,985935
01/11/2021 -> 30/11/2021,North East,184210,402600
01/11/2021 -> 30/11/2021,North West,499620,1053760
01/11/2021 -> 30/11/2021,South East,553705,1247055
01/11/2021 -> 30/11/2021,South West,351195,779470
01/11/2021 -> 30/11/2021,East Midlands,1223785,3077965
01/11/2021 -> 30/11/2021,East of England,1605925,3948850
01/11/2021 -> 30/11/2021,London,1242955,3782405
01/11/2021 -> 30/11/2021,North East,722800,1805010
01/11/2021 -> 30/11/2021,North West,1826905,4632410
01/11/2021 -> 30/11/2021,South East,2325550,5789670
01/11/2021 -> 30/11/2021,South West,1555295,3774610
01/11/2021 -> 30/11/2021,East Midlands,41475,182505
01/11/2021 -> 30/11/2021,East of England,44125,219405
01/11/2021 -> 30/11/2021,London,246245,1010505
01/11/2021 -> 30/11/2021,North East,8065,41650
01/11/2021 -> 30/11/2021,North West,39750,221630
01/11/2021 -> 30/11/2021,South East,72735,324660
01/11/2021 -> 30/11/2021,South West,22135,111965
01/11/2021 -> 30/11/2021,East Midlands,180015,422325
01/11/2021 -> 30/11/2021,East of England,267975,629320
01/11/2021 -> 30/11/2021,London,274435,755485
01/11/2021 -> 30/11/2021,North East,85150,195895
01/11/2021 -> 30/11/2021,North West,266185,605970
01/11/2021 -> 30/11/2021,South East,448280,1072020
01/11/2021 -> 30/11/2021,South West,252605,577010
01/11/2021 -> 30/11/2021,East Midlands,295850,725805
01/11/2021 -> 30/11/2021,East of England,415670,1009625
01/11/2021 -> 30/11/2021,London,395505,1162040
01/11/2021 -> 30/11/2021,North East,165695,392015
01/11/2021 -> 30/11/2021,North West,441600,1074250
01/11/2021 -> 30/11/2021,South East,650150,1610340
01/11/2021 -> 30/11/2021,South West,398070,953375
01/11/2021 -> 30/11/2021,East Midlands,132240,321955
01/11/2021 -> 30/11/2021,East of England,187505,440830
01/11/2021 -> 30/11/2021,London,176980,509135
01/11/2021 -> 30/11/2021,North East,84155,205085
01/11/2021 -> 30/11/2021,North West,215490,535105
01/11/2021 -> 30/11/2021,South East,273620,647415
01/11/2021 -> 30/11/2021,South West,171265,388190
01/11/2021 -> 30/11/2021,East Midlands,157910,409295
01/11/2021 -> 30/11/2021,East of England,232430,603395
01/11/2021 -> 30/11/2021,London,188945,625915
01/11/2021 -> 30/11/2021,North East,67855,182250
01/11/2021 -> 30/11/2021,North West,220985,595150
01/11/2021 -> 30/11/2021,South East,327290,854590
01/11/2021 -> 30/11/2021,South West,236605,584080
01/11/2021 -> 30/11/2021,East Midlands,124770,324105
01/11/2021 -> 30/11/2021,East of England,139260,362575
01/11/2021 -> 30/11/2021,London,94855,306235
01/11/2021 -> 30/11/2021,North East,78080,193155
01/11/2021 -> 30/11/2021,North West,174880,450600
01/11/2021 -> 30/11/2021,South East,182570,486240
01/11/2021 -> 30/11/2021,South West,130330,342105
01/11/2021 -> 30/11/2021,East Midlands,167280,440000
01/11/2021 -> 30/11/2021,East of England,195725,491420
01/11/2021 -> 30/11/2021,London,155800,513980
01/11/2021 -> 30/11/2021,North East,108470,279965
01/11/2021 -> 30/11/2021,North West,252840,673715
01/11/2021 -> 30/11/2021,South East,256675,643680
01/11/2021 -> 30/11/2021,South West,191455,471305
01/11/2021 -> 30/11/2021,East Midlands,175440,460705
01/11/2021 -> 30/11/2021,East of England,173220,447955
01/11/2021 -> 30/11/2021,London,124015,410050
01/11/2021 -> 30/11/2021,North East,117605,285505
01/11/2021 -> 30/11/2021,North West,238550,627755
01/11/2021 -> 30/11/2021,South East,204505,542050
01/11/2021 -> 30/11/2021,South West,160035,411395
01/11/2021 -> 30/11/2021,East Midlands,20315,93120
01/11/2021 -> 30/11/2021,East of England,23765,100910
01/11/2021 -> 30/11/2021,London,51910,289870
01/11/2021 -> 30/11/2021,North East,17550,80260
01/11/2021 -> 30/11/2021,North West,37700,189065
01/11/2021 -> 30/11/2021,South East,31190,126090
01/11/2021 -> 30/11/2021,South West,20040,76230
01/11/2021 -> 30/11/2021,East Midlands,11465,63165
01/11/2021 -> 30/11/2021,East of England,14515,82230
01/11/2021 -> 30/11/2021,London,26765,220195
01/11/2021 -> 30/11/2021,North East,6320,32510
01/11/2021 -> 30/11/2021,North West,18440,102440
01/11/2021 -> 30/11/2021,South East,24000,131885
01/11/2021 -> 30/11/2021,South West,17030,82875
01/11/2021 -> 30/11/2021,East Midlands,2565,8520
01/11/2021 -> 30/11/2021,East of England,5060,15685
01/11/2021 -> 30/11/2021,London,15450,46735
01/11/2021 -> 30/11/2021,North East,1215,3910
01/11/2021 -> 30/11/2021,North West,4430,13685
01/11/2021 -> 30/11/2021,South East,9835,30550
01/11/2021 -> 30/11/2021,South West,4790,14480
01/11/2021 -> 30/11/2021,East Midlands,891750,1936035
01/11/2021 -> 30/11/2021,East of England,1154870,2486135
01/11/2021 -> 30/11/2021,London,803760,2308860
01/11/2021 -> 30/11/2021,North East,571105,1267185
01/11/2021 -> 30/11/2021,North West,1441150,3304635
01/11/2021 -> 30/11/2021,South East,1678675,3667785
01/11/2021 -> 30/11/2021,South West,1115540,2350640
01/11/2021 -> 30/11/2021,East Midlands,27900,67670
01/11/2021 -> 30/11/2021,East of England,17095,44435
01/11/2021 -> 30/11/2021,London,110260,269370
01/11/2021 -> 30/11/2021,North East,1950,4680
01/11/2021 -> 30/11/2021,North West,10840,24930
01/11/2021 -> 30/11/2021,South East,23690,71585
01/11/2021 -> 30/11/2021,South West,3590,11000
01/11/2021 -> 30/11/2021,East Midlands,1325,2790
01/11/2021 -> 30/11/2021,East of England,15960,28565
01/11/2021 -> 30/11/2021,London,44215,87100
01/11/2021 -> 30/11/2021,North East,680,2725
01/11/2021 -> 30/11/2021,North West,9425,18925
01/11/2021 -> 30/11/2021,South East,6415,12630
01/11/2021 -> 30/11/2021,South West,2400,4860
01/11/2021 -> 30/11/2021,East Midlands,13250,91835
01/11/2021 -> 30/11/2021,East of England,14880,102635
01/11/2021 -> 30/11/2021,London,102820,619655
01/11/2021 -> 30/11/2021,North East,4230,28225
01/11/2021 -> 30/11/2021,North West,28325,230925
01/11/2021 -> 30/11/2021,South East,21285,132200
01/11/2021 -> 30/11/2021,South West,5015,30715
01/11/2021 -> 30/11/2021,East Midlands,237940,907630
01/11/2021 -> 30/11/2021,East of England,324790,1186755
01/11/2021 -> 30/11/2021,London,274520,1019965
01/11/2021 -> 30/11/2021,North East,111475,431700
01/11/2021 -> 30/11/2021,North West,267770,975275
01/11/2021 -> 30/11/2021,South East,478665,1723825
01/11/2021 -> 30/11/2021,South West,327855,1169735
01/11/2021 -> 30/11/2021,East Midlands,4830,13785
01/11/2021 -> 30/11/2021,East of England,6910,19135
01/11/2021 -> 30/11/2021,London,12990,30950
01/11/2021 -> 30/11/2021,North East,1825,5155
01/11/2021 -> 30/11/2021,North West,4705,14025
01/11/2021 -> 30/11/2021,South East,9870,29435
01/11/2021 -> 30/11/2021,South West,7715,23385
01/11/2021 -> 30/11/2021,East Midlands,75575,199855
01/11/2021 -> 30/11/2021,East of England,105970,270420
01/11/2021 -> 30/11/2021,London,97245,324905
01/11/2021 -> 30/11/2021,North East,37310,98930
01/11/2021 -> 30/11/2021,North West,98530,265465
01/11/2021 -> 30/11/2021,South East,156505,403205
01/11/2021 -> 30/11/2021,South West,109335,277315
01/11/2021 -> 30/11/2021,East Midlands,10140,32355
01/11/2021 -> 30/11/2021,East of England,4485,14490
01/11/2021 -> 30/11/2021,London,27930,85360
01/11/2021 -> 30/11/2021,North East,1090,4130
01/11/2021 -> 30/11/2021,North West,1490,6180
01/11/2021 -> 30/11/2021,South East,13355,43115
01/11/2021 -> 30/11/2021,South West,1190,4425
01/11/2021 -> 30/11/2021,East Midlands,415950,943015
01/11/2021 -> 30/11/2021,East of England,574545,1308220
01/11/2021 -> 30/11/2021,London,5085,11300
01/11/2021 -> 30/11/2021,North East,153690,360400
01/11/2021 -> 30/11/2021,North West,269700,576095
01/11/2021 -> 30/11/2021,South East,597375,1356300
01/11/2021 -> 30/11/2021,South West,565550,1278710
01/11/2021 -> 30/11/2021,East Midlands,849320,2317455
01/11/2021 -> 30/11/2021,East of England,1075490,2860030
01/11/2021 -> 30/11/2021,London,1484120,4781600
01/11/2021 -> 30/11/2021,North East,577170,1486265
01/11/2021 -> 30/11/2021,North West,1596955,4277955
01/11/2021 -> 30/11/2021,South East,1800920,4758035
01/11/2021 -> 30/11/2021,South West,1011895,2607855
01/11/2021 -> 30/11/2021,East Midlands,712550,1689975
01/11/2021 -> 30/11/2021,East of England,928440,2167660
01/11/2021 -> 30/11/2021,London,814990,2512030
01/11/2021 -> 30/11/2021,North East,419030,965240
01/11/2021 -> 30/11/2021,North West,1047190,2525915
01/11/2021 -> 30/11/2021,South East,1354555,3189305
01/11/2021 -> 30/11/2021,South West,895990,2033060
01/11/2021 -> 30/11/2021,East Midlands,552715,1570505
01/11/2021 -> 30/11/2021,East of England,721590,2000575
01/11/2021 -> 30/11/2021,London,674225,2280885
01/11/2021 -> 30/11/2021,North East,311825,881420
01/11/2021 -> 30/11/2021,North West,819465,2328125
01/11/2021 -> 30/11/2021,South East,1043740,2925020
01/11/2021 -> 30/11/2021,South West,681465,1853500
01/11/2021 -> 30/11/2021,East Midlands,5360,22515
01/11/2021 -> 30/11/2021,East of England,6990,31710
01/11/2021 -> 30/11/2021,London,10765,78000
01/11/2021 -> 30/11/2021,North East,2660,10985
01/11/2021 -> 30/11/2021,North West,8040,35475
01/11/2021 -> 30/11/2021,South East,12465,53075
01/11/2021 -> 30/11/2021,South West,9050,34485
01/11/2021 -> 30/11/2021,East Midlands,15925,46185
01/11/2021 -> 30/11/2021,East of England,21300,64270
01/11/2021 -> 30/11/2021,London,26935,98635
01/11/2021 -> 30/11/2021,North East,7835,19670
01/11/2021 -> 30/11/2021,North West,21010,59870
01/11/2021 -> 30/11/2021,South East,36525,114445
01/11/2021 -> 30/11/2021,South West,22375,65760
01/11/2021 -> 30/11/2021,East Midlands,1041335,2341140
01/11/2021 -> 30/11/2021,East of England,1344845,2943380
01/11/2021 -> 30/11/2021,London,1045375,2577085
01/11/2021 -> 30/11/2021,North East,566555,1269010
01/11/2021 -> 30/11/2021,North West,1518280,3438815
01/11/2021 -> 30/11/2021,South East,1958880,4322800
01/11/2021 -> 30/11/2021,South West,1288295,2756700
01/11/2021 -> 30/11/2021,East Midlands,90275,435190
01/11/2021 -> 30/11/2021,East of England,117550,565860
01/11/2021 -> 30/11/2021,London,153880,966690
01/11/2021 -> 30/11/2021,North East,46570,213165
01/11/2021 -> 30/11/2021,North West,128965,629160
01/11/2021 -> 30/11/2021,South East,183200,892555
01/11/2021 -> 30/11/2021,South West,130690,585325
01/11/2021 -> 30/11/2021,East Midlands,112370,415435
01/11/2021 -> 30/11/2021,East of England,159370,563020
01/11/2021 -> 30/11/2021,London,252265,1072475
01/11/2021 -> 30/11/2021,North East,107255,333815
01/11/2021 -> 30/11/2021,North West,190350,690715
01/11/2021 -> 30/11/2021,South East,207230,731455
01/11/2021 -> 30/11/2021,South West,127030,444285
01/11/2021 -> 30/11/2021,East Midlands,30755,563855
01/11/2021 -> 30/11/2021,East Midlands,45985,458380
01/11/2021 -> 30/11/2021,East Midlands,87990,485590
01/11/2021 -> 30/11/2021,East Midlands,220345,604205
01/11/2021 -> 30/11/2021,East Midlands,321365,501885
01/11/2021 -> 30/11/2021,East Midlands,361790,417785
01/11/2021 -> 30/11/2021,East Midlands,197045,228770
01/11/2021 -> 30/11/2021,East of England,37455,677715
01/11/2021 -> 30/11/2021,East of England,56545,591865
01/11/2021 -> 30/11/2021,East of England,112030,659260
01/11/2021 -> 30/11/2021,East of England,295945,764465
01/11/2021 -> 30/11/2021,East of England,406915,626905
01/11/2021 -> 30/11/2021,East of England,467410,533855
01/11/2021 -> 30/11/2021,East of England,273745,314180
01/11/2021 -> 30/11/2021,London,44490,941210
01/11/2021 -> 30/11/2021,London,68965,863010
01/11/2021 -> 30/11/2021,London,146960,895650
01/11/2021 -> 30/11/2021,London,335990,842370
01/11/2021 -> 30/11/2021,London,380345,602780
01/11/2021 -> 30/11/2021,London,321890,401425
01/11/2021 -> 30/11/2021,London,190575,246455
01/11/2021 -> 30/11/2021,North East,19300,315500
01/11/2021 -> 30/11/2021,North East,30070,265730
01/11/2021 -> 30/11/2021,North East,49450,263160
01/11/2021 -> 30/11/2021,North East,126250,335675
01/11/2021 -> 30/11/2021,North East,185960,302950
01/11/2021 -> 30/11/2021,North East,203945,233580
01/11/2021 -> 30/11/2021,North East,115890,130060
01/11/2021 -> 30/11/2021,North West,43800,854700
01/11/2021 -> 30/11/2021,North West,71065,730235
01/11/2021 -> 30/11/2021,North West,132560,725650
01/11/2021 -> 30/11/2021,North West,351670,887935
01/11/2021 -> 30/11/2021,North West,479040,740835
01/11/2021 -> 30/11/2021,North West,506475,587190
01/11/2021 -> 30/11/2021,North West,282040,327505
01/11/2021 -> 30/11/2021,South East,54145,1006485
01/11/2021 -> 30/11/2021,South East,82115,846360
01/11/2021 -> 30/11/2021,South East,164030,977640
01/11/2021 -> 30/11/2021,South East,425385,1133815
01/11/2021 -> 30/11/2021,South East,589650,918790
01/11/2021 -> 30/11/2021,South East,674150,768025
01/11/2021 -> 30/11/2021,South East,408805,463220
01/11/2021 -> 30/11/2021,South West,37960,640650
01/11/2021 -> 30/11/2021,South West,54510,511520
01/11/2021 -> 30/11/2021,South West,95720,548780
01/11/2021 -> 30/11/2021,South West,252015,699455
01/11/2021 -> 30/11/2021,South West,380555,620040
01/11/2021 -> 30/11/2021,South West,473460,544620
01/11/2021 -> 30/11/2021,South West,283215,321505
01/12/2021 -> 31/12/2021,East Midlands,2268245,3260000
01/12/2021 -> 31/12/2021,East of England,2921255,4167920
01/12/2021 -> 31/12/2021,London,2665805,4794550
01/12/2021 -> 31/12/2021,North East,1254465,1846100
01/12/2021 -> 31/12/2021,North West,3116410,4853030
01/12/2021 -> 31/12/2021,South East,4343835,6113995
01/12/2021 -> 31/12/2021,South West,2843890,3885490
01/12/2021 -> 31/12/2021,East Midlands,173305,314410
01/12/2021 -> 31/12/2021,East of England,258945,454185
01/12/2021 -> 31/12/2021,London,905405,1782530
01/12/2021 -> 31/12/2021,North East,45055,81805
01/12/2021 -> 31/12/2021,North West,191840,380885
01/12/2021 -> 31/12/2021,South East,450210,736705
01/12/2021 -> 31/12/2021,South West,170930,278300
01/12/2021 -> 31/12/2021,East Midlands,2094930,2945595
01/12/2021 -> 31/12/2021,East of England,2662325,3713745
01/12/2021 -> 31/12/2021,London,1760395,3012015
01/12/2021 -> 31/12/2021,North East,1209405,1764295
01/12/2021 -> 31/12/2021,North West,2924570,4472135
01/12/2021 -> 31/12/2021,South East,3893640,5377290
01/12/2021 -> 31/12/2021,South West,2672965,3607195
01/12/2021 -> 31/12/2021,East Midlands,235510,288880
01/12/2021 -> 31/12/2021,East of England,274570,336520
01/12/2021 -> 31/12/2021,London,230005,343940
01/12/2021 -> 31/12/2021,North East,145715,179135
01/12/2021 -> 31/12/2021,North West,332840,433615
01/12/2021 -> 31/12/2021,South East,379540,464415
01/12/2021 -> 31/12/2021,South West,279970,337015
01/12/2021 -> 31/12/2021,East Midlands,138690,177485
01/12/2021 -> 31/12/2021,East of England,143675,185040
01/12/2021 -> 31/12/2021,London,152265,242410
01/12/2021 -> 31/12/2021,North East,107795,136605
01/12/2021 -> 31/12/2021,North West,243310,330160
01/12/2021 -> 31/12/2021,South East,188260,243700
01/12/2021 -> 31/12/2021,South West,147125,186640
01/12/2021 -> 31/12/2021,East Midlands,1894035,2793640
01/12/2021 -> 31/12/2021,East of England,2503010,3646355
01/12/2021 -> 31/12/2021,London,2283535,4208205
01/12/2021 -> 31/12/2021,North East,1000955,1530360
01/12/2021 -> 31/12/2021,North West,2540285,4089240
01/12/2021 -> 31/12/2021,South East,3776045,5405880
01/12/2021 -> 31/12/2021,South West,2416805,3361850
01/12/2021 -> 31/12/2021,East Midlands,91285,109960
01/12/2021 -> 31/12/2021,East of England,106870,129250
01/12/2021 -> 31/12/2021,London,43055,62030
01/12/2021 -> 31/12/2021,North East,58010,71915
01/12/2021 -> 31/12/2021,North West,121875,155525
01/12/2021 -> 31/12/2021,South East,151760,182710
01/12/2021 -> 31/12/2021,South West,115150,137020
01/12/2021 -> 31/12/2021,East Midlands,290980,400125
01/12/2021 -> 31/12/2021,East of England,392750,537070
01/12/2021 -> 31/12/2021,London,245555,422770
01/12/2021 -> 31/12/2021,North East,158275,226565
01/12/2021 -> 31/12/2021,North West,382835,576090
01/12/2021 -> 31/12/2021,South East,531420,718170
01/12/2021 -> 31/12/2021,South West,352425,465280
01/12/2021 -> 31/12/2021,East Midlands,310615,422195
01/12/2021 -> 31/12/2021,East of England,411540,557475
01/12/2021 -> 31/12/2021,London,250785,431220
01/12/2021 -> 31/12/2021,North East,175505,247415
01/12/2021 -> 31/12/2021,North West,424120,630430
01/12/2021 -> 31/12/2021,South East,586005,779925
01/12/2021 -> 31/12/2021,South West,400890,522090
01/12/2021 -> 31/12/2021,East Midlands,261230,357160
01/12/2021 -> 31/12/2021,East of England,324855,446400
01/12/2021 -> 31/12/2021,London,259960,453060
01/12/2021 -> 31/12/2021,North East,145985,207330
01/12/2021 -> 31/12/2021,North West,365080,545930
01/12/2021 -> 31/12/2021,South East,497775,674585
01/12/2021 -> 31/12/2021,South West,336960,446420
01/12/2021 -> 31/12/2021,East Midlands,598280,719350
01/12/2021 -> 31/12/2021,East of England,827640,1009845
01/12/2021 -> 31/12/2021,London,1016215,1502080
